Architecture,Optimizer,Trial,Final_Loss,Final_Sharpness,Final_Hessian_Max,Final_Gradient_Norm,Final_Local_Entropy
shallow,sgd,0,0.2611941993236542,0.0016170144081115723,8.181488990783691,0.064812071621418,-46251.47965734426
shallow,sgd,1,0.2646022140979767,0.002138376235961914,11.05562686920166,0.07068189233541489,-25969.887986892394
shallow,sgd,2,0.26031553745269775,0.002773791551589966,6.459656715393066,0.058455951511859894,-56710.14437715177
shallow,momentum,0,0.25769978761672974,0.004527002573013306,9.374174118041992,0.008156433701515198,-136917.2778288024
shallow,momentum,1,0.2574331760406494,0.001047968864440918,9.470138549804688,0.009700302965939045,-126693.59647611037
shallow,momentum,2,0.25758716464042664,0.0014031529426574707,8.315800666809082,0.01206200011074543,-83153.28193230405
shallow,adam,0,0.25734418630599976,0.0014911890029907227,4.243903636932373,0.009894534014165401,-252358.8740954823
shallow,adam,1,0.2568129003047943,0.0026682913303375244,8.11207389831543,0.001981444889679551,-96597.56459787887
shallow,adam,2,0.25652921199798584,0.0020043253898620605,5.4397687911987305,0.0037273841444402933,-169765.5483482988
deep,sgd,0,0.25772789120674133,0.00040465593338012695,3.0639636516571045,0.014558359980583191,-249333.07786362915
deep,sgd,1,0.25879618525505066,0.0008583664894104004,3.248609781265259,0.01959851197898388,-265352.6317762541
deep,sgd,2,0.2580964267253876,0.001212000846862793,2.869837760925293,0.019229140132665634,-69063.75734043946
deep,momentum,0,0.2576044797897339,0.001468360424041748,3.2375733852386475,0.005447332747280598,-243375.4058715011
deep,momentum,1,0.2574729919433594,0.0009403824806213379,2.418898105621338,0.004327939823269844,-405141.3684862014
deep,momentum,2,0.25762495398521423,0.0009507834911346436,3.126193046569824,0.006505527999252081,-349860.1667157683
deep,adam,0,0.2545500099658966,0.001589745283126831,4.2890543937683105,0.010458345524966717,-262150.9643531215
deep,adam,1,0.25381097197532654,0.0027876198291778564,4.195804119110107,0.02487526461482048,-130861.03019769408
deep,adam,2,0.2566273808479309,0.0006338953971862793,3.2880802154541016,0.0018919724971055984,-830166.0445445571
wide,sgd,0,0.25849083065986633,0.007481426000595093,29.422508239746094,0.030052687972784042,-35036.411258144755
wide,sgd,1,0.25873953104019165,0.0051687657833099365,27.201004028320312,0.0423126183450222,-24820.716215938417
wide,sgd,2,0.25922200083732605,0.005687445402145386,25.57573699951172,0.040061283856630325,-27072.106406993986
wide,momentum,0,0.2571985721588135,0.003862529993057251,24.058704376220703,0.006257355213165283,-55063.89907811065
wide,momentum,1,0.25741589069366455,0.006281048059463501,25.097549438476562,0.008287239819765091,-32862.27049209337
wide,momentum,2,0.2574508786201477,0.007627338171005249,24.632938385009766,0.010475331917405128,-52634.07843089605
wide,adam,0,0.25610625743865967,0.0068243443965911865,23.900163650512695,0.007064050529152155,-17108.919699974624
wide,adam,1,0.2559817433357239,0.006850868463516235,22.86798095703125,0.010535387322306633,-61607.69421883588
wide,adam,2,0.255256325006485,0.003734499216079712,23.275497436523438,0.003878359217196703,-25705.129338150167
residual,sgd,0,0.2579137086868286,0.0008768737316131592,3.702180862426758,0.02880449965596199,-108190.72842755487
residual,sgd,1,0.25851431488990784,0.0006455481052398682,3.1040003299713135,0.022173814475536346,-172690.46580233113
residual,sgd,2,0.2593686878681183,0.0010982155799865723,4.011487007141113,0.03928453102707863,-80377.37779075856
residual,momentum,0,0.25753435492515564,0.0005638301372528076,3.1827027797698975,0.004937025252729654,-423236.76202359895
residual,momentum,1,0.25749415159225464,0.001513451337814331,3.761967182159424,0.006394305266439915,-134818.06751761195
residual,momentum,2,0.2575587034225464,0.0005970597267150879,3.6438775062561035,0.007091041188687086,-148383.052371918
residual,adam,0,0.25678813457489014,0.0004795491695404053,2.584402084350586,0.0021985487546771765,-765909.3737956864
residual,adam,1,0.2560754716396332,0.0009763538837432861,3.113919496536255,0.0022470701951533556,-263188.275578099
residual,adam,2,0.2570788562297821,0.0007965266704559326,2.937204599380493,0.0024221136700361967,-317824.6680920846
